price_h,price_m,price
18464.48148148148,14533.416666666666,16498.949074074073
17451.12598425197,14878.285714285714,16164.705849268841
15963.788732394367,14949.65,15456.719366197183
15614.255319148937,14779.07142857143,15196.663373860183
18192.69387755102,16608.166666666668,17400.430272108846
16564.990825688074,16748.933333333334,16656.962079510704
16719.3417721519,15708.066666666668,16213.704219409283
18168.14285714286,15052.076923076924,16610.109890109892
17664.853658536584,17799.9,17732.376829268294
17899.166666666668,14879.176470588236,16389.17156862745
16972.61151079137,16271.565217391304,16622.088364091338
16905.026315789473,14939.944444444445,15922.48538011696
17749.611650485436,14295.125,16022.368325242718
18315.649484536083,15570.333333333334,16942.991408934708
16350.277777777777,15492.882352941177,15921.580065359478
16111.79207920792,12517.57142857143,14314.681753889676
17736.84892086331,15353.857142857143,16545.353031860228
16382.194444444445,17253.444444444445,16817.819444444445
19498.581395348836,32673.666666666668,26086.124031007752
17315.91176470588,14810.5625,16063.23713235294
17549.049019607843,15699.133333333333,16624.09117647059
17323.8875,16230.8,16777.34375
19860.946428571428,16049.35,17955.148214285713
16870.27358490566,14582.833333333334,15726.553459119496
18963.127272727274,17777.555555555555,18370.341414141414
17181.954545454544,14890.315789473685,16036.135167464116
20028.472,16888.347826086956,18458.409913043477
17567.20253164557,17707.636363636364,17637.41944764097
17087.045454545456,15070.55,16078.797727272728
16994.571428571428,14101.157894736842,15547.864661654134
18675.77894736842,15152.142857142857,16913.96090225564
17618.81981981982,13246.95,15432.88490990991
16944.504132231406,14273.764705882353,15609.13441905688
15891.459770114943,13140.214285714286,14515.837027914615
16153.876033057852,15841.1875,15997.531766528926
18018.84347826087,11576.733333333334,14797.788405797102
17032.78313253012,16566.0,16799.39156626506
17096.760869565216,12220.5,14658.630434782608
15851.220183486239,15363.0,15607.11009174312
17869.9125,18282.454545454544,18076.18352272727
17134.00934579439,15851.277777777777,16492.643561786084
15667.333333333334,14009.944444444445,14838.63888888889
16606.073684210525,15291.933333333332,15949.00350877193
15050.38053097345,12454.411764705883,13752.396147839667
14263.803418803418,11212.866666666667,12738.335042735041
13687.927835051547,12337.538461538461,13012.733148295003
14374.73076923077,11469.5625,12922.146634615385
13589.157407407407,9892.882352941177,11741.019880174292
15112.829268292682,12629.272727272728,13871.050997782706
24085.829545454544,10085.181818181818,17085.50568181818
13511.931818181818,11847.272727272728,12679.602272727272
14474.45,11730.1,13102.275000000001
16229.059701492537,15940.444444444445,16084.752072968491
18202.861538461537,8065.333333333333,13134.097435897434
16631.430555555555,11209.333333333334,13920.381944444445
16139.030927835052,13860.416666666666,14999.72379725086
19033.9375,12279.76923076923,15656.853365384615
16107.0,11609.181818181818,13858.090909090908
15232.029702970298,11025.533333333333,13128.781518151816
16815.577464788734,12620.222222222223,14717.899843505478
13949.244186046511,10363.0625,12156.153343023256
14133.703296703297,9203.76923076923,11668.736263736264
13711.397727272728,8884.833333333334,11298.115530303032
13435.34375,6957.3,10196.321875
