datetime,price
2019-03-15,18234.371859296483
2019-03-16,18116.96644295302
2019-03-18,18552.557603686637
2019-03-19,17777.55223880597
2019-03-20,17388.541666666668
2019-03-21,18821.497076023392
2019-03-22,17746.521276595744
2019-03-23,16781.988304093567
2019-03-25,17139.031674208145
2019-03-26,16633.16748768473
2019-03-27,17746.938547486032
2019-03-28,18482.88613861386
2019-03-29,18578.53439153439
2019-03-30,19177.617021276597
2019-04-01,18671.525773195877
2019-04-02,19662.529411764706
2019-04-03,19326.48947368421
2019-04-04,18490.011363636364
2019-04-05,18110.278846153848
2019-04-06,19423.743055555555
2019-04-08,19265.928571428572
2019-04-09,18541.872093023256
2019-04-10,18914.23076923077
2019-04-11,19710.67724867725
2019-04-12,17116.6981981982
2019-04-13,19481.830303030303
2019-04-15,20034.206521739132
2019-04-16,17527.82901554404
2019-04-17,19292.54
2019-04-18,19390.421319796955
2019-04-19,18143.505208333332
2019-04-20,19860.38732394366
2019-04-22,19180.402985074626
2019-04-23,18316.565714285713
2019-04-24,19482.910828025477
2019-04-25,20405.132978723403
2019-04-26,19345.867549668874
2019-04-27,18617.571428571428
2019-04-29,19634.030456852794
2019-04-30,20336.9
2019-05-01,20432.640625
2019-05-02,20490.5
2019-05-03,19871.845
2019-05-04,19128.557142857142
2019-05-06,20975.615384615383
2019-05-07,19765.041450777204
2019-05-08,19614.170854271357
2019-05-09,19759.145
2019-05-10,21585.542105263157
2019-05-11,19400.354545454546
2019-05-13,21317.971830985916
2019-05-14,17975.748299319726
2019-05-15,18187.42176870748
2019-05-16,19731.981012658227
2019-05-17,17606.1
2019-05-18,18807.49565217391
2019-05-20,19813.708333333332
2019-05-21,18281.843373493975
2019-05-22,19456.816993464054
2019-05-23,21071.273333333334
2019-05-24,19111.066666666666
2019-05-25,18980.277777777777
2019-05-27,21279.155279503106
2019-05-28,21771.173076923078
2019-05-29,20032.29012345679
2019-05-30,19969.812080536914
2019-05-31,20498.77922077922
2019-06-01,21297.673469387755
2019-06-03,21744.73224043716
2019-06-04,20548.708860759492
2019-06-05,21138.155844155845
2019-06-06,20561.734265734267
2019-06-07,21312.195488721805
2019-06-08,22128.84496124031
2019-06-10,20695.094736842104
2019-06-11,19994.612716763007
2019-06-12,20604.461988304094
2019-06-13,20937.22627737226
2019-06-14,19911.515151515152
2019-06-15,20137.731092436974
2019-06-17,21985.1
2019-06-18,19668.340425531915
2019-06-19,21459.0
2019-06-20,19296.898550724636
2019-06-21,19805.54109589041
2019-06-22,20218.52525252525
2019-06-24,20384.70512820513
2019-06-25,18870.784615384615
2019-06-26,20063.0
2019-06-27,18892.504424778763
2019-06-28,18526.05035971223
2019-06-29,15992.28409090909
2019-07-01,19994.41891891892
2019-07-02,18553.619047619046
2019-07-03,19791.727848101265
2019-07-04,19861.978723404256
2019-07-05,19660.070967741936
2019-07-06,17912.06976744186
2019-07-08,19255.271604938273
2019-07-09,19053.075862068967
2019-07-10,19344.6
2019-07-11,19247.122448979593
2019-07-12,17299.80620155039
2019-07-13,17023.835443037973
2019-07-15,18331.06611570248
2019-07-16,19069.757009345794
2019-07-17,16219.691666666668
2019-07-18,18063.55421686747
2019-07-19,17926.075268817203
2019-07-20,16305.375
2019-07-22,19755.728971962617
2019-07-23,18940.872340425532
2019-07-24,18349.79761904762
2019-07-25,33468.333333333336
2019-07-26,17919.867647058825
2019-07-27,21949.0
2019-07-29,17424.98305084746
2019-07-30,17969.169230769232
2019-07-31,17952.14285714286
2019-08-01,21691.934782608696
2019-08-02,17896.736842105263
2019-08-03,18400.73076923077
2019-08-05,19221.5593220339
2019-08-06,19937.22807017544
2019-08-07,21026.145833333332
2019-08-08,21294.025
2019-08-09,20166.37837837838
2019-08-10,17721.2
2019-08-12,18968.64
2019-08-13,20301.75
2019-08-14,18635.0625
2019-08-15,18544.25
2019-08-16,20172.0
2019-08-17,18377.869565217392
2019-08-19,23627.8
2019-08-20,20802.272727272728
2019-08-21,29966.941176470587
2019-08-22,28010.70588235294
2019-08-23,19000.56
2019-08-24,14661.7
2019-08-26,15663.583333333334
2019-08-27,12993.666666666666
2019-08-28,7938.3
2019-08-29,8094.444444444444
2019-08-30,8159.571428571428
2019-08-31,14886.285714285714
2019-09-02,28963.5
2019-09-03,28167.777777777777
2019-09-04,22431.153846153848
2019-09-06,17720.0
2019-09-07,11563.285714285714
2019-09-09,14791.666666666666
2019-09-10,6000.0
2019-09-11,7600.0
2019-09-17,3000.0
2019-09-18,8000.0
2019-09-19,6844.333333333333
2019-09-20,7520.75
2019-09-21,3320.0
2019-09-23,5400.0
2019-09-24,4250.0
2019-09-25,7500.0
2019-09-26,4292.0
2019-09-27,9325.0
2019-09-30,9194.333333333334
2019-10-01,17025.75
2019-10-02,10391.666666666666
2019-10-03,10077.166666666666
2019-10-04,12358.6875
2019-10-05,11370.333333333334
2019-10-07,12348.363636363636
2019-10-08,18318.555555555555
2019-10-09,16732.14285714286
2019-10-10,18524.41176470588
2019-10-11,19747.52380952381
2019-10-12,21262.285714285714
2019-10-14,20585.579545454544
2019-10-15,20571.4
2019-10-16,21239.61261261261
2019-10-17,19375.52
2019-10-18,19276.16891891892
2019-10-19,17955.593548387096
2019-10-21,17660.41208791209
2019-10-22,17161.184615384616
2019-10-23,17451.971751412428
2019-10-24,16003.995145631068
2019-10-25,15912.360975609756
2019-10-26,15795.816753926701
2019-10-28,15347.377880184331
2019-10-29,15428.658415841584
2019-10-30,15709.06726457399
2019-10-31,18078.69298245614
2019-11-01,15134.416309012875
2019-11-02,17257.905982905984
2019-11-04,14937.382716049382
2019-11-05,14650.018604651163
2019-11-06,13292.164609053498
2019-11-07,13749.25
2019-11-08,14337.91011235955
2019-11-09,14226.165137614678
2019-11-11,13178.686440677966
2019-11-12,16078.003891050583
2019-11-13,15866.604545454546
2019-11-14,12983.051886792453
2019-11-15,12687.863247863248
2019-11-16,12077.655913978495
2019-11-18,12319.61052631579
2019-11-19,11945.622727272726
2019-11-20,14524.215517241379
2019-11-21,11766.533936651584
2019-11-22,12211.583732057416
2019-11-23,11862.133333333333
2019-11-25,12232.706214689266
2019-11-26,13148.23076923077
2019-11-27,12362.769607843138
2019-11-28,12111.18274111675
2019-11-29,11918.490654205607
2019-11-30,12155.709090909091
2019-12-02,12823.661835748791
2019-12-03,12413.754901960785
2019-12-04,12549.897560975609
2019-12-05,13655.986363636364
2019-12-06,12580.990291262136
2019-12-07,13081.53947368421
2019-12-09,13593.906976744185
2019-12-10,13776.106951871658
2019-12-11,14236.056994818653
2019-12-12,13506.972350230415
2019-12-13,12617.102325581396
2019-12-14,12852.675531914894
2019-12-16,12713.079646017699
2019-12-17,12593.23786407767
2019-12-18,12525.279792746114
2019-12-19,12854.395555555555
2019-12-20,12113.811320754718
2019-12-21,13018.372093023256
2019-12-23,14352.665254237289
2019-12-24,12842.369158878504
2019-12-25,14127.941520467837
2019-12-26,13157.401069518717
2019-12-27,12713.780898876405
2019-12-28,13061.272727272728
2019-12-30,13588.679144385027
2019-12-31,15134.09756097561
2020-01-02,16996.236363636363
2020-01-03,16740.019047619047
2020-01-04,14625.340101522843
2020-01-06,17342.782006920414
2020-01-07,18357.78431372549
2020-01-08,19209.414814814816
2020-01-09,20521.866666666665
2020-01-10,19012.408571428572
2020-01-11,18989.817901234568
2020-01-12,22343.333333333332
2020-01-13,18689.924119241194
2020-01-14,17441.68128654971
2020-01-15,20001.838187702266
2020-01-16,19671.251612903226
2020-01-17,20523.13651877133
2020-01-18,21411.395061728395
2020-01-19,26080.0
2020-01-20,21581.096085409252
2020-01-21,24606.950226244346
2020-01-22,23632.392045454544
2020-01-23,28245.45348837209
2020-01-24,23703.571428571428
2020-01-28,18517.729166666668
2020-01-29,16984.589743589742
2020-01-30,17944.280303030304
2020-01-31,16854.52027027027
2020-02-01,14956.654545454545
2020-02-03,15698.097297297298
2020-02-04,15203.558659217877
2020-02-05,15211.790697674418
2020-02-06,13602.123456790123
2020-02-07,14428.0
2020-02-08,12907.735294117647
2020-02-10,14662.7461928934
2020-02-11,13311.745341614907
2020-02-12,13179.15340909091
2020-02-13,13190.660493827161
2020-02-14,13987.139784946237
2020-02-15,13435.834437086092
2020-02-17,14873.497584541063
2020-02-18,14302.43023255814
2020-02-19,13574.328282828283
2020-02-20,14221.672043010753
2020-02-21,13280.36
2020-02-22,14464.244604316547
2020-02-24,14509.275675675675
2020-02-25,16267.785714285714
2020-02-26,18996.628048780487
